index,disease_name,supplement name,supplement image,buy link
0,Apple___Apple_scab,Katyayani Prozol Propiconazole 25% EC Systematic Fungicide,https://www.kissanghar.pk/assets/img/product/37461320210422659.jpg,https://www.kissanghar.pk/product-details?name=Pyrazole-45%wp-100gr-Tebuconazole-37%-Pyraclostrobin-8%-Ici&c=344
1,Apple___Black_rot,Magic FungiX For Fungal disease,https://www.kissanghar.pk/assets/img/product/48091020220830114.jpg,https://www.kissanghar.pk/product-details?name=Clank-Extra-45percent-Wp-100gm-Pyraclostrobin-+-Tebuconazole-Fungicide-Alnoor-Agro-Chemicals&c=832
2,Apple___Cedar_apple_rust,Katyayani All in 1 Organic Fungicide,https://www.kissanghar.pk/assets/img/product/14021220230112377.jpg,https://www.kissanghar.pk/product-details?name=Evito-480sc-100ml-Fungicide-Arysta-Life-Science-Fluoxastrobin&c=1044
3,Apple___healthy,Tapti Booster Organic Fertilizer,https://www.kissanghar.pk/assets/img/product/30561220230226288.jpg,https://www.kissanghar.pk/product-details?name=Nativo-75-Percent-Wg-65gm-Tebuconazole-+-Trifloxystrobin-Fungicide-Bayer-Crop&c=160
4,Background_without_leaves,,,
5,Blueberry___healthy,GreenStix Fertilizer,https://www.kissanghar.pk/assets/img/product/59231920201008238.jpg,https://www.kissanghar.pk/product-details?name=Nativo-75-Percent-Wg-65gm-Tebuconazole-+-Trifloxystrobin-Fungicide-Bayer-Crop&c=160
6,Cherry___Powdery_mildew,ROM Mildew Clean,https://www.kissanghar.pk/assets/img/product/12141920221002535.jpg,"https://www.kissanghar.pk/product-details?name=Aminoz%2010%20Wdg%20300gm%20Difenoconazole%20Combagro%20Kanzo%20Evyol%20Group%20Agpharma%20Protects%20Vines%20And%20Fruit%20From%20Powdery%20Mildew%20(pm),%20Black%20Rot%20(br),%20And%20Phomopsis%20Cane%20And%20Leaf%20Spot.&c=890"
7,Cherry___healthy,Plantic Organic BloomDrop Liquid Plant Food ,https://www.kissanghar.pk/assets/img/product/59231920201008238.jpg,https://www.kissanghar.pk/product-details?name=Aliette%2080%%20Wp%20250gm%20Fungicide%20Fosetyl%20Aluminum%2080%%20%20Bayer%20Alliet%20Eliet&c=299
8,Corn___Cercospora_leaf_spot Gray_leaf_spot,ANTRACOL FUNGICIDE,https://www.kissanghar.pk/assets/img/product/28491320201013314.jpg,https://www.kissanghar.pk/product-details?name=Antracol%2070%wp%20%20Propineb%2070%%201kg%20Bayer%20Crop%20Science%20&c=191
9,Corn___Common_rust,3 STAR M45 Mancozeb 75% WP Contact Fungicide,https://www.kissanghar.pk/assets/img/product/14021220230112377.jpg,https://www.kissanghar.pk/product-details?name=Evito-480sc-100ml-Fungicide-Arysta-Life-Science-Fluoxastrobin&c=1044
